yes	does Gunnar tell the truth?	Quinn tells the truth. Esme says that Quinn lies. Otto says that Esme lies. Zola says that Otto lies. Gunnar says that Zola lies.
no	does Quinn tell the truth?	Zola tells the truth. Gunnar says that Zola lies. Thea says that Gunnar lies. Bruno says that Thea lies. Ines says that Bruno lies. Quinn says that Ines lies.
no	does Otto tell the truth?	Bruno lies. Ines says that Bruno lies. Quinn says that Ines lies. Esme says that Quinn lies. Otto says that Esme lies.
yes	does Bruno tell the truth?	Esme lies. Otto says that Esme lies. Zola says that Otto lies. Gunnar says that Zola lies. Thea says that Gunnar lies. Bruno says that Thea lies.
no	does Quinn tell the truth?	Gunnar tells the truth. Thea says that Gunnar tells the truth. Bruno says that Thea lies. Ines says that Bruno lies. Quinn says that Ines lies.
yes	does Gunnar tell the truth?	Ines tells the truth. Quinn says that Ines tells the truth. Esme says that Quinn lies. Otto says that Esme lies. Zola says that Otto lies. Gunnar says that Zola lies.
yes	does Bruno tell the truth?	Otto lies. Zola says that Otto tells the truth. Gunnar says that Zola lies. Thea says that Gunnar lies. Bruno says that Thea lies.
no	does Otto tell the truth?	Thea lies. Bruno says that Thea tells the truth. Ines says that Bruno lies. Quinn says that Ines lies. Esme says that Quinn lies. Otto says that Esme lies.
no	does Gunnar tell the truth?	Quinn tells the truth. Esme says that Quinn lies. Otto says that Esme tells the truth. Zola says that Otto lies. Gunnar says that Zola lies.
yes	does Quinn tell the truth?	Zola tells the truth. Gunnar says that Zola lies. Thea says that Gunnar tells the truth. Bruno says that Thea lies. Ines says that Bruno lies. Quinn says that Ines lies.
yes	does Otto tell the truth?	Bruno lies. Ines says that Bruno lies. Quinn says that Ines tells the truth. Esme says that Quinn lies. Otto says that Esme lies.
no	does Bruno tell the truth?	Esme lies. Otto says that Esme lies. Zola says that Otto tells the truth. Gunnar says that Zola lies. Thea says that Gunnar lies. Bruno says that Thea lies.
yes	does Quinn tell the truth?	Gunnar tells the truth. Thea says that Gunnar tells the truth. Bruno says that Thea tells the truth. Ines says that Bruno lies. Quinn says that Ines lies.
no	does Gunnar tell the truth?	Ines tells the truth. Quinn says that Ines tells the truth. Esme says that Quinn tells the truth. Otto says that Esme lies. Zola says that Otto lies. Gunnar says that Zola lies.
no	does Bruno tell the truth?	Otto lies. Zola says that Otto tells the truth. Gunnar says that Zola tells the truth. Thea says that Gunnar lies. Bruno says that Thea lies.
yes	does Otto tell the truth?	Thea lies. Bruno says that Thea tells the truth. Ines says that Bruno tells the truth. Quinn says that Ines lies. Esme says that Quinn lies. Otto says that Esme lies.
no	does Gunnar tell the truth?	Quinn tells the truth. Esme says that Quinn lies. Otto says that Esme lies. Zola says that Otto tells the truth. Gunnar says that Zola lies.
yes	does Quinn tell the truth?	Zola tells the truth. Gunnar says that Zola lies. Thea says that Gunnar lies. Bruno says that Thea tells the truth. Ines says that Bruno lies. Quinn says that Ines lies.
yes	does Otto tell the truth?	Bruno lies. Ines says that Bruno lies. Quinn says that Ines lies. Esme says that Quinn tells the truth. Otto says that Esme lies.
no	does Bruno tell the truth?	Esme lies. Otto says that Esme lies. Zola says that Otto lies. Gunnar says that Zola tells the truth. Thea says that Gunnar lies. Bruno says that Thea lies.
да	говорит ли Богдан правду?	Фёдор говорит правду. Лариса говорит, что Фёдор лжёт. Руслан говорит, что Лариса лжёт. Зоя говорит, что Руслан лжёт. Богдан говорит, что Зоя лжёт.
нет	говорит ли Фёдор правду?	Зоя говорит правду. Богдан говорит, что Зоя лжёт. Эмма говорит, что Богдан лжёт. Клим говорит, что Эмма лжёт. Тамара говорит, что Клим лжёт. Фёдор говорит, что Тамара лжёт.
нет	говорит ли Руслан правду?	Клим лжёт. Тамара говорит, что Клим лжёт. Фёдор говорит, что Тамара лжёт. Лариса говорит, что Фёдор лжёт. Руслан говорит, что Лариса лжёт.
да	говорит ли Клим правду?	Лариса лжёт. Руслан говорит, что Лариса лжёт. Зоя говорит, что Руслан лжёт. Богдан говорит, что Зоя лжёт. Эмма говорит, что Богдан лжёт. Клим говорит, что Эмма лжёт.
нет	говорит ли Фёдор правду?	Богдан говорит правду. Эмма говорит, что Богдан говорит правду. Клим говорит, что Эмма лжёт. Тамара говорит, что Клим лжёт. Фёдор говорит, что Тамара лжёт.
да	говорит ли Богдан правду?	Тамара говорит правду. Фёдор говорит, что Тамара говорит правду. Лариса говорит, что Фёдор лжёт. Руслан говорит, что Лариса лжёт. Зоя говорит, что Руслан лжёт. Богдан говорит, что Зоя лжёт.
да	говорит ли Клим правду?	Руслан лжёт. Зоя говорит, что Руслан говорит правду. Богдан говорит, что Зоя лжёт. Эмма говорит, что Богдан лжёт. Клим говорит, что Эмма лжёт.
нет	говорит ли Руслан правду?	Эмма лжёт. Клим говорит, что Эмма говорит правду. Тамара говорит, что Клим лжёт. Фёдор говорит, что Тамара лжёт. Лариса говорит, что Фёдор лжёт. Руслан говорит, что Лариса лжёт.
нет	говорит ли Богдан правду?	Фёдор говорит правду. Лариса говорит, что Фёдор лжёт. Руслан говорит, что Лариса говорит правду. Зоя говорит, что Руслан лжёт. Богдан говорит, что Зоя лжёт.
да	говорит ли Фёдор правду?	Зоя говорит правду. Богдан говорит, что Зоя лжёт. Эмма говорит, что Богдан говорит правду. Клим говорит, что Эмма лжёт. Тамара говорит, что Клим лжёт. Фёдор говорит, что Тамара лжёт.
да	говорит ли Руслан правду?	Клим лжёт. Тамара говорит, что Клим лжёт. Фёдор говорит, что Тамара говорит правду. Лариса говорит, что Фёдор лжёт. Руслан говорит, что Лариса лжёт.
нет	говорит ли Клим правду?	Лариса лжёт. Руслан говорит, что Лариса лжёт. Зоя говорит, что Руслан говорит правду. Богдан говорит, что Зоя лжёт. Эмма говорит, что Богдан лжёт. Клим говорит, что Эмма лжёт.
да	говорит ли Фёдор правду?	Богдан говорит правду. Эмма говорит, что Богдан говорит правду. Клим говорит, что Эмма говорит правду. Тамара говорит, что Клим лжёт. Фёдор говорит, что Тамара лжёт.
нет	говорит ли Богдан правду?	Тамара говорит правду. Фёдор говорит, что Тамара говорит правду. Лариса говорит, что Фёдор говорит правду. Руслан говорит, что Лариса лжёт. Зоя говорит, что Руслан лжёт. Богдан говорит, что Зоя лжёт.
нет	говорит ли Клим правду?	Руслан лжёт. Зоя говорит, что Руслан говорит правду. Богдан говорит, что Зоя говорит правду. Эмма говорит, что Богдан лжёт. Клим говорит, что Эмма лжёт.
да	говорит ли Руслан правду?	Эмма лжёт. Клим говорит, что Эмма говорит правду. Тамара говорит, что Клим говорит правду. Фёдор говорит, что Тамара лжёт. Лариса говорит, что Фёдор лжёт. Руслан говорит, что Лариса лжёт.
нет	говорит ли Богдан правду?	Фёдор говорит правду. Лариса говорит, что Фёдор лжёт. Руслан говорит, что Лариса лжёт. Зоя говорит, что Руслан говорит правду. Богдан говорит, что Зоя лжёт.
да	говорит ли Фёдор правду?	Зоя говорит правду. Богдан говорит, что Зоя лжёт. Эмма говорит, что Богдан лжёт. Клим говорит, что Эмма говорит правду. Тамара говорит, что Клим лжёт. Фёдор говорит, что Тамара лжёт.
да	говорит ли Руслан правду?	Клим лжёт. Тамара говорит, что Клим лжёт. Фёдор говорит, что Тамара лжёт. Лариса говорит, что Фёдор говорит правду. Руслан говорит, что Лариса лжёт.
нет	говорит ли Клим правду?	Лариса лжёт. Руслан говорит, что Лариса лжёт. Зоя говорит, что Руслан лжёт. Богдан говорит, что Зоя говорит правду. Эмма говорит, что Богдан лжёт. Клим говорит, что Эмма лжёт.
a lovely big shelf	which order is right?	«a lovely big shelf» or «a big lovely shelf»?
a lovely big lamp	which order is right?	«a lovely big lamp» or «a big lovely lamp»?
a lovely big bowl	which order is right?	«a lovely big bowl» or «a big lovely bowl»?
a lovely big clock	which order is right?	«a lovely big clock» or «a big lovely clock»?
a lovely big bench	which order is right?	«a lovely big bench» or «a big lovely bench»?
an ugly small shelf	which order is right?	«an ugly small shelf» or «a small ugly shelf»?
an ugly small lamp	which order is right?	«an ugly small lamp» or «a small ugly lamp»?
an ugly small bowl	which order is right?	«an ugly small bowl» or «a small ugly bowl»?
an ugly small clock	which order is right?	«an ugly small clock» or «a small ugly clock»?
an ugly small bench	which order is right?	«an ugly small bench» or «a small ugly bench»?
a silly huge shelf	which order is right?	«a silly huge shelf» or «a huge silly shelf»?
a silly huge lamp	which order is right?	«a silly huge lamp» or «a huge silly lamp»?
a silly huge bowl	which order is right?	«a silly huge bowl» or «a huge silly bowl»?
a silly huge clock	which order is right?	«a silly huge clock» or «a huge silly clock»?
