# РЫНОК ЗАЧИНА ДЕЯТЕЛЯ — чем свод открывает предложение перед этим словом.
# Собран `python3 scripts/actorplace_market.py --собрать` по мирам, объявившим
# деятелей (манифест `actors`). Столбцы: язык, слово, показы, классы зачина.
# Класс объявлен ПАКЕТОМ языка; `·неизвестно` — зачин, не объявленный никаким.
de	aß	133	·неизвестно,вопрос,лицо
de	bekam	73	лицо
de	besitzt	70	лицо
de	fand	110	·неизвестно,вопрос,лицо
de	gab	313	·неизвестно,лицо
de	hat	3912	вопрос,лицо
de	hatte	326	·неизвестно,лицо
de	ist	1869	·неизвестно,вопрос,лицо
de	kauft	105	·неизвестно,лицо
de	kaufte	179	·неизвестно,вопрос,лицо
de	las	110	·неизвестно,вопрос,лицо
de	legte	110	·неизвестно,вопрос,лицо
de	machte	540	вопрос,лицо
de	und	25	лицо
de	verkaufte	23	лицо
de	verlor	24	лицо
en	added	140	лицо
en	adds	220	лицо
en	and	601	лицо,число
en	ate	173	вопрос,зачин,лицо
en	ava	29	зачин,лицо
en	baked	149	лицо
en	bakes	10	лицо
en	ben	26	вопрос,зачин,лицо
en	bought	1212	вопрос,зачин,лицо
en	brought	77	лицо
en	buys	255	зачин,лицо
en	carla	62	вопрос,зачин,лицо
en	caught	15	лицо
en	collected	165	лицо
en	collects	93	лицо
en	completed	13	лицо
en	counted	653	лицо
en	counts	93	лицо
en	dan	117	вопрос,зачин,лицо
en	delivered	25	лицо
en	did	1159	вопрос,зачин,лицо
en	drank	25	лицо
en	drops	90	лицо
en	earned	150	зачин,лицо
en	earns	270	зачин,лицо
en	eats	60	лицо
en	elena	49	вопрос,зачин,лицо
en	emptied	30	лицо
en	empties	30	лицо
en	felix	85	вопрос,зачин,лицо
en	found	326	вопрос,зачин,лицо
en	gave	755	лицо
en	gets	185	лицо
en	gives	30	лицо
en	got	1360	лицо
en	grace	52	вопрос,зачин,лицо
en	greeted	40	лицо
en	grew	45	лицо
en	grows	10	лицо
en	had	1768	лицо
en	has	16787	вопрос,зачин,лицо
en	held	15	лицо
en	holds	1439	лицо
en	hugo	98	вопрос,зачин,лицо
en	is	2165	·неизвестно,вопрос,зачин,лицо
en	keeps	1025	лицо
en	knows	80	лицо
en	left	20	лицо
en	lies	324	лицо
en	lifts	16	лицо
en	likes	345	лицо
en	looks	345	лицо
en	loses	140	лицо
en	lost	50	зачин,лицо
en	made	385	лицо
en	makes	330	лицо
en	met	40	лицо
en	missed	40	лицо
en	needed	25	лицо
en	needs	55	лицо
en	ordered	25	лицо
en	owns	855	лицо
en	packed	333	лицо
en	packs	90	зачин,лицо
en	paid	593	зачин,лицо
en	pays	15	зачин,лицо
en	picked	216	лицо
en	planted	65	лицо
en	played	11	лицо
en	produced	25	лицо
en	put	76	вопрос,зачин,лицо
en	ran	25	лицо
en	read	118	вопрос,зачин,лицо
en	reads	116	лицо
en	received	60	лицо
en	removed	12	лицо
en	reported	40	лицо
en	runs	21	лицо
en	s	360	лицо
en	saved	194	зачин,лицо
en	saves	515	зачин,лицо
en	saw	25	лицо
en	says	1494	лицо
en	scored	115	лицо
en	sells	145	лицо
en	sent	9	лицо
en	shared	60	лицо
en	shares	30	лицо
en	sleeps	16	лицо
en	sold	591	зачин,лицо
en	spends	131	зачин,лицо
en	spent	107	зачин,лицо
en	takes	560	лицо
en	tells	306	лицо
en	threw	14	лицо
en	took	322	лицо
en	uploaded	25	лицо
en	used	307	зачин,лицо
en	uses	388	лицо
en	waited	16	лицо
en	walked	25	лицо
en	walks	21	лицо
en	weighed	25	лицо
en	weighs	95	лицо
en	won	12	лицо
en	worked	75	лицо
en	works	60	лицо
en	writes	95	лицо
en	wrote	90	лицо
es	comió	35	лицо
es	compró	81	лицо
es	encontró	12	лицо
es	gastó	24	лицо
es	hizo	480	лицо
es	le	64	лицо
es	les	32	лицо
es	leyó	12	лицо
es	no	64	лицо
es	perdió	24	лицо
es	puso	12	лицо
es	recibió	73	лицо
es	regaló	33	лицо
es	tenía	326	лицо
es	tiene	2979	лицо
es	vendió	23	лицо
es	y	25	лицо
fr	a	4352	·неизвестно,вопрос,лицо
fr	avait	326	·неизвестно,лицо
fr	et	25	лицо
fr	leur	32	лицо
fr	lui	64	·неизвестно,лицо
fr	n	121	·неизвестно,вопрос,лицо
it	aveva	326	лицо
it	e	25	лицо
it	gli	32	лицо
it	ha	4430	вопрос,лицо
it	le	32	лицо
it	non	114	вопрос,лицо
nl	at	110	·неизвестно,вопрос,лицо
nl	deed	540	вопрос,лицо
nl	gaf	120	·неизвестно,лицо
nl	had	125	·неизвестно,лицо
nl	heeft	2852	вопрос,лицо
nl	is	180	·неизвестно,вопрос,лицо
nl	kocht	179	·неизвестно,вопрос,лицо
nl	las	110	·неизвестно,вопрос,лицо
nl	legde	110	·неизвестно,вопрос,лицо
nl	vond	110	·неизвестно,вопрос,лицо
pl	dał	64	лицо
pl	dała	16	лицо
pl	jest	471	вопрос,лицо
pl	kupił	99	вопрос,лицо
pl	kupiła	68	вопрос,лицо
pl	ma	2930	вопрос,лицо
pl	miał	78	лицо
pl	miała	29	лицо
pl	nie	64	лицо
pl	położył	61	вопрос,лицо
pl	położyła	39	вопрос,лицо
pl	przeczytał	57	вопрос,лицо
pl	przeczytała	43	вопрос,лицо
pl	wydał	9	лицо
pl	wydała	12	лицо
pl	zjadł	65	вопрос,лицо
pl	zjadła	35	вопрос,лицо
pl	znalazł	57	вопрос,лицо
pl	znalazła	43	вопрос,лицо
pl	zrobił	300	вопрос,лицо
pl	zrobiła	240	лицо
pt	comeu	57	вопрос,лицо
pt	comprou	102	вопрос,лицо
pt	deu	33	лицо
pt	e	25	лицо
pt	encontrou	34	вопрос,лицо
pt	gastou	24	лицо
pt	leu	34	вопрос,лицо
pt	perdeu	24	лицо
pt	pôs	34	вопрос,лицо
pt	recebeu	73	лицо
pt	tem	880	вопрос,лицо
pt	tinha	230	лицо
pt	vendeu	23	лицо
ru	вдвое	90	·неизвестно,лицо
ru	взял	72	лицо
ru	взяла	78	лицо
ru	видит	399	·неизвестно,вопрос,лицо
ru	втрое	86	·неизвестно,лицо
ru	вчетверо	79	·неизвестно,лицо
ru	выиграла	11	лицо
ru	выпил	18	лицо
ru	выпила	12	лицо
ru	вырастил	18	лицо
ru	вырастила	12	лицо
ru	говорит	1800	лицо
ru	дал	12	лицо
ru	дала	28	лицо
ru	делает	15	лицо
ru	делит	30	лицо
ru	держал	20	лицо
ru	держит	12	лицо
ru	довольна	210	лицо
ru	думает	210	лицо
ru	женского	182	лицо
ru	заплатил	153	·неизвестно,лицо
ru	заплатила	147	·неизвестно,лицо
ru	зарабатывает	100	·неизвестно,лицо
ru	заработал	36	·неизвестно,лицо
ru	заработала	34	·неизвестно,лицо
ru	и	248	·неизвестно,лицо
ru	имеет	90	лицо
ru	имел	36	лицо
ru	имела	35	лицо
ru	испёк	46	·неизвестно,лицо
ru	купил	364	·неизвестно,вопрос,лицо
ru	купила	392	·неизвестно,вопрос,лицо
ru	лжёт	324	лицо
ru	мужского	182	лицо
ru	надул	11	лицо
ru	написал	12	лицо
ru	написала	34	лицо
ru	насчитал	30	лицо
ru	насчитала	30	лицо
ru	нашла	68	·неизвестно,вопрос,лицо
ru	нашёл	120	·неизвестно,вопрос,лицо
ru	освободил	15	лицо
ru	освободила	15	лицо
ru	отдал	412	·неизвестно,лицо
ru	отдала	395	·неизвестно,лицо
ru	отложил	21	·неизвестно,лицо
ru	отложила	19	·неизвестно,лицо
ru	пишет	194	·неизвестно,вопрос,лицо
ru	покупает	110	·неизвестно,лицо
ru	положил	68	·неизвестно,вопрос,лицо
ru	положила	32	·неизвестно,вопрос,лицо
ru	получил	146	лицо
ru	получила	152	лицо
ru	потерял	40	·неизвестно,лицо
ru	потеряла	27	·неизвестно,лицо
ru	потратил	26	·неизвестно,лицо
ru	потратила	26	·неизвестно,лицо
ru	принесла	37	лицо
ru	принёс	38	лицо
ru	продал	35	·неизвестно,лицо
ru	продала	89	·неизвестно,лицо
ru	продаёт	13	лицо
ru	прочитал	97	вопрос,лицо
ru	прочитала	47	вопрос,лицо
ru	работал	58	лицо
ru	работала	65	лицо
ru	рада	210	лицо
ru	разделил	30	лицо
ru	разделила	30	лицо
ru	сделал	323	вопрос,лицо
ru	сделала	281	лицо
ru	скопил	36	лицо
ru	скопила	38	лицо
ru	собрал	511	лицо
ru	собрала	374	лицо
ru	сообщила	9	лицо
ru	сосчитал	37	лицо
ru	сосчитала	38	лицо
ru	старше	46	лицо
ru	считал	10	лицо
ru	считала	10	лицо
ru	съел	123	·неизвестно,вопрос,лицо
ru	съела	67	·неизвестно,вопрос,лицо
ru	утром	9	лицо
ru	ушла	12	лицо
ru	хранит	13	лицо
ru	читает	194	·неизвестно,вопрос,лицо
ru	шёл	135	лицо
ru	это	525	·неизвестно,лицо
tr	bir	44	лицо
tr	cuma	121	·неизвестно,лицо
tr	cumartesi	106	·неизвестно,лицо
tr	pazar	105	·неизвестно,лицо
tr	pazartesi	109	·неизвестно,лицо
tr	perşembe	122	·неизвестно,лицо
tr	salı	121	·неизвестно,лицо
tr	çarşamba	107	·неизвестно,лицо
